Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Dendrite,CellType
00793.swc,1504,12.5664,10,40,88,49,207.67,184.26,116,1.99867,2325.83,14613.6,7306.82,123.383,161.201,7,0.90377,16.0795,1,85.2208,59.6073,1.08137,other,STG
00794.swc,862,12.5664,12,31,72,42,144.05,131.32,86,1.99768,1348.18,8470.85,4235.43,92.9442,114.292,6,0.896192,10.9583,1,80.293,65.6044,1.12083,apical,STG
00795.swc,861,12.5664,9,19,45,27,152.7,142.01,96,1.99768,1325.94,8331.15,4165.57,111.4,147.78,5,0.865808,18.1111,1,81.2458,63.8422,1.11677,other,STG
00796.swc,1509,12.5664,14,42,97,56,180.7,259.59,107,1.99867,2404.61,15108.6,7554.3,139.999,171.459,7,0.890682,14.5464,1,78.8801,58.4472,1.11368,basal,STG
00797.swc,1310,12.5664,9,41,90,50,184.26,173.57,86,1.99847,1921.77,12074.9,6037.43,104.654,147.019,7,0.893645,13.5444,1,75.2531,57.5799,1.06934,other,STG
00798.swc,1600,12.5664,14,40,92,53,241.27,180.19,122,1.99875,2903.48,18243.1,9121.57,134.011,150.816,5,0.906148,16.3804,1,70.1961,55.9619,1.08305,other,STG
00799.swc,1370,12.5664,9,41,90,50,186.63,177.13,80.89,1.99854,2066.34,12983.2,6491.58,127.51,160.053,8,0.888419,14.2111,1,82.3487,62.2903,1.09897,apical,STG
00800.swc,1305,12.5664,10,34,76,43,166.44,162.88,97,1.99847,2060.55,12946.8,6473.4,110.892,132.576,7,0.885341,16.1579,1,76.2434,63.3676,1.07351,other,STG
00801.swc,1729,12.5664,8,42,92,51,259.08,194.44,106.89,1.99884,2686.29,16878.5,8439.23,143.963,203.624,9,0.868191,17.7826,1,89.7356,74.2329,1.13572,other,STG
00802.swc,1210,12.5664,7,28,62,35,224.47,187.82,88,1.99835,1875.13,11781.8,5890.88,163.113,202.563,13,0.913686,18.5,1,84.6308,64.7992,1.0908,other,STG
00803.swc,1009,12.5664,9,33,73,41,121.08,226.99,101.97,1.99802,1601.71,10063.8,5031.92,149.258,166.445,8,0.896858,12.8082,1,67.3299,58.9061,1.14291,apical,STG
00804.swc,739,12.5664,7,18,41,24,126.74,183.75,67,1.99729,1169.99,7351.24,3675.62,127.104,201.958,5,0.881113,17,1,78.8906,63.8963,1.07138,basal,STG
00805.swc,545,12.5664,6,13,30,18,135.39,102.82,88,1.99633,859.471,5400.21,2700.11,113.451,128.326,6,0.88275,17.1333,1,97.7954,63.416,1.08491,basal,STG
00806.swc,729,12.5664,9,25,57,33,192.91,141.5,85.94,1.99726,1195.43,7511.14,3755.57,112.138,130.282,6,0.908426,11.7719,1,84.2328,64.5423,1.10181,apical,STG
00807.swc,1162,12.5664,8,40,87,48,160.52,185.78,72,1.99828,1805.1,11341.8,5670.89,116.078,133.237,6,0.912267,12.3448,1,82.9184,53.8275,1.0602,basal,SFG
00808.swc,718,12.5664,6,29,62,34,128.78,155.25,56,1.99721,1084.74,6815.63,3407.81,89.2947,110.441,6,0.913262,10.5645,1,78.3523,63.0402,1.08802,basal,SFG
00809.swc,765,12.5664,7,29,63,35,157.28,145.45,60,1.99739,1217.87,7652.11,3826.06,94.5692,116.841,7,0.910777,11.127,1,88.9546,66.8752,1.08803,basal,SFG
